key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
,"forest commons, vertical integration and smallholder's saving and investment responses: evidence from a quasi-experiment","Gelo, D",WORLD DEVELOPMENT,0305-750X,132,,-,2020,PERGAMON-ELSEVIER SCIENCE LTD,http://dx.doi.org/10.1016/j.worlddev.2020.104962,"We study how firms decide whether to continue an existing relationship or switch the vendor of outsourced services. Because of incomplete contracts and relationship-specific investments, client organisations may face switching costs, which in some cases may be large enough to render vendor switching an unattractive option. Based on an extensive review of the literature, we develop hypotheses about relationship-, firm-, and market-specific determinants of switching costs. We then develop an econometric model to identify those determinants and their relative importance and estimate the magnitude of switching costs. In the empirical study, we observe accounting data of 1318 US credit unions (CUs) and follow their IT outsourcing choices over 11 years. We find that the largest portion of switching costs is due to relationship- and firm-specific factors, while market-specific variables are much less important. Our estimates suggest that average switching costs account for one-third of the average annual expenditure for professional services. We further highlight that the average hides substantial heterogeneity. Switching costs of CUs that decide to switch vendors are about 50% lower than those of CUs that stay. Looking more closely at stayers, our most conservative estimate of the lock-in effect, i.e., the difference in switching costs of deliberate and non-deliberate stayers, is equivalent to about 70% of the average annual expenditure for professional services.",,10.1016/j.worlddev.2020.104962,Forest commons; Vertical integration; Transaction cost; Treatment effects; Precautionary saving
,"an investigation into the financial sustainability of islamic saving, credit cooperative society (saccos) in tanzania","Said, MS; Annuar, HA; Bin Hamdan, H",INTERNATIONAL JOURNAL OF ETHICS AND SYSTEMS,2514-9369,35,2,242-259,2019,EMERALD GROUP PUBLISHING LTD,http://dx.doi.org/10.1108/IJOES-11-2018-0159,"As the result of prohibitively high transaction costs, smallholder farmers are only partly integrated into agricultural and forest commodity markets, a situation that may leave them in a lower level of development equilibrium (i.e., a poverty trap). For the most part, many users of forest commons extract forest products, typically non-timber products, for subsistence use or safety net purposes. To overcome this problem, in recent years, collective vertical integration (VI) of forest product marketing cooperative structures have been promoted and, in some cases, adopted by users of forest commons. Although this type of program has been observed to raise smallholder incomes, there is little evidence available on saving/investment responses to such income gains. This paper investigates precautionary saving and investment responses to collective forest product marketing programs among users of forest commons in Ethiopian villages. To identify the causal effects of the program, I applied propensity score matching, difference-in-difference (DID) and change-in-change (CIC) estimators to household survey data collected from randomly selected households in the Gimbo district (south-western Ethiopia). I find strong evidence that participation in the program reduces savings in the form of livestock holdings and that effect is limited to non-poor households. When interpreted in terms of the Permanent Income Hypothesis (PIH), the results imply that participants felt the current income gains to be non-transient, which led to reduced precautionary savings and to a gain in consumption/welfare. Moreover, I found that the program has spurred investment in child education and participation in off-farm self-employment. These results point to the importance of the safety net/insurance channel of the program. Overall, the findings underscore the program's potential to raise the standard of living via ancillary mechanisms beyond directly raising income outcome. (C) 2020 Elsevier Ltd. All rights reserved.",,10.1108/IJOES-11-2018-0159,Tanzania; Islamic microfinance; Return on assets; Financial sustainability; SACCOS
,the issues and countermeasures about the credit system construction of china e-commerce,"Hu, JW","NINTH WUHAN INTERNATIONAL CONFERENCE ON E-BUSINESS, VOLS I-III",,,,114-117,2010,ALFRED UNIV,,"Purpose The purpose of this paper is to assess the financial sustainability of Islamic Saving Credit Corporative Society (SACCOS) and the factor(s) affecting their financial sustainability in the Tanzanian context. Design/methodology/approach The data set used in this study comes from four SACCOS audited financial reports from the year 2010 to 2014 and from interviews with SACCOS's management. Findings The study found that the IMFIs in Tanzania are not financially sustainable. Additionally, having responsible staff members, regular review of financial guidelines, education to members, cooperation between employees and management and staff training are found to be highly contributing factors towards SACCOS's financial sustainability. Moreover, the findings reveal that depending on the single source of income, i.e., charges on members contributed much in these SACCOS's not being financially sustainable. Originality/value This study traces the financial trend of Islamic SACCOS in Tanzania since its establishment in 2010. Such trace enables Islamic SACCOS and other stakeholders to be aware on the financial progress of Islamic SACCOS and act accordingly to ensure sustainability.",,,China; E-Commerce; credit system; issues and countermeasure
,turkish cooperatives society and the ruling party in the 1930s: the rise and fall of a regimented public sphere,"Vardagli, ET",TURKISH STUDIES,1468-3849,24,2,258-277,2023,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",http://dx.doi.org/10.1080/14683849.2022.2101363,"The main facing issues about the credit system construction of China E-Commerce mainly display with the unsound credit management system corresponding to E-commerce, the imperfect system of laws and regulations and the weak sense of social credit. The credit union, business and personal credit systems should be established for the credit system construction of China E-Commerce, and the disclosure systems of credit information should be improved. Meanwhile, the legal system of E-commerce with international level should be established in order to ensure the legitimate rights and interests of businesses and consumers without infringement, and the new credit culture adapted to the market economy should be cultivated for enhancing credit awareness.",,10.1080/14683849.2022.2101363,Republican Peoples' Party; single party regime; regimented public sphere; cooperatives; Turkey
,resisting change from within and without the organization,"Cutcher, L",JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,0953-4814,22,3,275-289,2009,EMERALD GROUP PUBLISHING LTD,http://dx.doi.org/10.1108/09534810910951069,"This study scrutinizes the relations between the cooperative societies and the ruling party in Turkey in the 1930s. The ruling party (the Republican Peoples' Party) mobilized the cooperative societies to avert the subversive effects of the Great Depression. Besides their economic significance, cooperative societies were formulated as alternative communication channels between the ruler and the ruled. It is argued that under the single party regime the RPP generated a regimented public sphere over these organizations to forward its messages to the masses. The periodicals published by the Turkish Cooperatives Society, the national federation of the cooperatives, provide invaluable insights into the catalyzer role of the bureaucratic intelligentsia in the construction and deconstruction of this public sphere. It is suggested that the interactions between the ruling authority and the bureaucratic intelligentsia generate a certain pattern of political culture displaying the dialectical forces immanent to any public sphere.",,10.1108/09534810910951069,Gender; Organizational change; Work identity; Narratives
,do high commitment human resource practices affect employee commitment? a cross-level analysis using hierarchical linear modeling,"Whitener, EM",JOURNAL OF MANAGEMENT,0149-2063,27,5,515-535,2001,SAGE PUBLICATIONS INC,http://dx.doi.org/10.1016/S0149-2063(01)00106-4,"Purpose - The purpose of this paper is to contribute further to the understanding of why and how employees resist workplace change. Building on previous studies exploring the link between worker subjectivity and workplace change, the paper highlights both the spatial and temporal dimensions of tactics of resistance. Design/methodology/approach - The paper draws on case study evidence from an Australian credit union that had implemented significant changes to its service strategy, and identifies employee responses to these changes. Findings - The case study identifies the way in which tradition and place can be discursive resources with which employees resist changes to work practices and roles which threaten to disrupt workplace and gender identities. Originality/value - To date, the literature has focused on tactics of resistance that draw on temporal and spatial narratives from inside the organization. This paper extends the understanding by showing how individuals also draw on narratives from outside the organization to resist workplace change.",,10.1016/S0149-2063(01)00106-4,
,the tactics of consumer resistance - group action and marketplace exit,"HERRMANN, RO",ADVANCES IN CONSUMER RESEARCH,0098-9258,20,,130-134,1993,ASSN CONSUMER RES,,"Relying on a cross-level paradigm and on social exchange theory (i.e., perceived organizational support) I explore the relationshi s among human resource practices, trust-in-managernent, and p organizational commitment. Individual-level analyses from a sample of 1689 employees from 180 credit unions indicate that trust-in-management partially mediates the relationship between perceived organizational support and organizational commitment. Cross-level analyses using hierarchical linear modeling indicate that human resource practices affect the relationship between perceived organizational support and organizational commitment or trust-in-management. (C) 2001 Elsevier Science Inc. All rights reserved.",,,
,strategy on the regional distribution reconstruction of urban credit cooperatives - a case of henan province,"Wang, XX",CALL OF PAPER PROCEEDINGS OF 2008 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING,,,,81-86,2008,ORIENT ACAD FORUM,,"One of the alternatives open to discontented consumers is to exit the marketplace. Group exit actions may take the form of boycotts or the creation of alternative providers of needed goods and services. These market exit groups have sought both functional goals (changes in the marketing mix) and structural goals (broader social and economic changes). In recent years, boycotts have come into increasing use and increasingly have sought structural goals but may be losing their impact. The alternative providers considered include food buying clubs and consumer co-ops; the product information provider, Consumers Union; credit unions and the mail-order drug and insurance operations of the American Association of Retired Persons. Because of their origins these consumer-controlled organizations have faced special goal conflicts and financial problems. The organizations which have succeeded best have emphasized conventional business principles and functional goals even when this conflicted with their structural goals.",,,Urban credit cooperative; Regional distribution; Reconstruct
,"collective dairy farming, women empowerment and social inclusion: a village-level study from bihar, india","Nath, PK",GLOBAL BUSINESS REVIEW,0972-1509,,,-,2022,SAGE PUBLICATIONS LTD,http://dx.doi.org/10.1177/09721509221121701,"This paper takes urban credit cooperatives in Henan Province as an example. On the basis of analyzing the historical changes and current situation of their distribution, it reveals the characteristics of the distribution of urban credit cooperatives, for example, the local, administrative and convergent, non-economic characteristic is much more prominent. The feasible path to regional distribution reconstruction of urban credit cooperatives is to construct a regional shareholding commercial bank in Henan Province.",,10.1177/09721509221121701,Dairy cooperative societies; social inclusion; theory of change; women empowerment; social relation diversification; employment structure
,"the assessment of efficiency of the rural credit cooperatives based, on double objectives - considering the cases in shannxi province","Wang, WL; Wang, X",STATISTIC APPLICATION IN MODERN SOCIETY,,,,710-722,2015,AUSSINO ACAD PUBL HOUSE,,"Using the theory of change, the study captures how the dairy cooperative societies (DCS)-level activities under National Dairy Plan 1 (NDP I) have promoted women's empowerment and social inclusion in rural societies. We use the case study method, in-depth interviews and informal talks to gather information from the women dairy farmers. We propose that dairy farmers under NDP-I have improved their socio-economic conditions, and dairy farming has increased the intra-household bargaining power of the farmer women. This article examines the role of the DCSs in improving the socio-economic status of weaker sections, including women and lower-caste people (Bihar, India). We find that social inclusion has been a regular practice at the DCS level, promoting a diversified social relationship among rural women. The findings highlight the process of change that has enhanced women's agency to decide and act upon them at both the household and community level. The study captures the very process of change that empowers the weaker sections of rural Bihar. Earlier studies hardly have tried to understand the empowerment process through the lenses of 'theory of change'.",,,Rural Credit Cooperatives; sustainable management efficiency; service FFF efficiency; overall efficiency
,political process and co-operative laws in gujarat,"Phansalkar, SJ",ECONOMIC AND POLITICAL WEEKLY,0012-9976,32,39,A140-A148,1997,ECONOMIC POLITICAL WEEKLY,,"Based on the data from 60 rural credit cooperatives in Shaanxi province, the assessment of sustainable management efficiency and serves FFF(farm, farmers, and farming) efficiency of these sample cooperatives are discussed in the beginning of this paper. Regarding assets as input indicators and the efficiency value of sustainable management and FFF as output indicators, this paper then measures the overall efficiency of the rural credit cooperatives in Shaanxi province and draws conclusions that the majority of the rural credit cooperatives in Shaanxi province are extremely inefficient, and that the diseconomies of scale widely exist among the rural credit cooperatives in Shaanxi province because of decreasing returns to scale.",,,
,"impact of neem-coated urea on production, productivity and soil health in punjab","Grover, DK; Singh, JM; Kumar, S; Singh, J",INDIAN JOURNAL OF ECONOMICS AND DEVELOPMENT,2277-5412,14,1A,1-12,2018,SOC ECONOMICS & DEVELOPMENT,http://dx.doi.org/10.5958/2322-0430.2018.00027.6,"The Gujarat State Co-operative Societies Act evolved front the Bombay Act of 1948 through a series of amendments. The most significant and controversial amendments were effected between 1981 and 1983, when the Congress government in power through KHAM strategy aimed to end the patidar hegemony in the co-operative sector. The opposition to the amendments sprang more from the recognition of this agenda than from any ideological affiliation to co-operative ethics. The co-operative bosses belonging to patidar community took the war to the courtrooms and had the thrust of the amendments threatening their power base, severely diluted.",,10.5958/2322-0430.2018.00027.6,Growth; impact; neem coated urea; production; trends
,"cooperation, control, and concession in meerkat groups","Clutton-Brock, TH; Brotherton, PNM; Russell, AF; O'Riain, MJ; Gaynor, D; Kansky, R; Griffin, A; Manser, M; Sharpe, L; McIlrath, GM; Small, T; Moss, A; Monfort, S",SCIENCE,0036-8075,291,5503,478-481,2001,AMER ASSOC ADVANCEMENT SCIENCE,http://dx.doi.org/10.1126/science.291.5503.478,"The present study was undertaken to analyze the trends in usage and prices of urea in Punjab, to analyze the adoption behavior of neem coated urea (NCU) among selected farmers, to analyze the impact of adoption of NCU on crop productivity and farmers' income and to suggest suitable policy measures for adoption of NCU. The data were collected from randomly selected 200 farmers from four blocks of Ludhiana and Patiala districts where paddy is a major kharif crop which requires adequate doses of urea for its growth. The results of the study revealed that the consumption/sale of urea in Punjab during the year 2007-08 was 2646.44 th. MT which rose to 3086.05 th. MT during the period 2007-08 to 2015-16 at an annual growth rate of 1.64 percent. The urea prices increased significantly at the highest growth of 5.21 percent per annum during the decade 1990-91 to 1999-2000 while during the period 1980-81 to 2015-16 the growth in urea prices was 3.33 percent per annum. The analysis of the primary data revealed that the majority of the respondent farmers purchased NCU and Normal urea (NU) from co-operative societies followed by private fertilizer dealers while the cost per bag of NCU, including transportation cost, worked out to be '289.69 while it was '276.58 per bag in case of NU. There was marginal increase in the productivity of paddy crop during the year 2015-16 as compared to the year 2014-15. The net returns per acre were estimated to be '31401 during the year 2015-16 and '29530 in 2014-15. As far as awareness about NCU was concerned, almost all the selected farmers were aware about the NCU and major source of awareness was co-operative societies. There was a significant increase in the application of NCU after 2015-16 in crops such as; paddy, wheat, basmati, sugarcane, potato, maize, sunflower, and vegetables. Due to the application of NCU, only 5.29 percent farmers reported about the increase in paddy yield while the cost of pest and disease control declined by 21 percent. There was increase in productivity of paddy crop where neem coated urea (NCU) was applied on the sample farms. Also, the NCU usage on the sample farms increased while cost of pest and disease control measures declined. The partial budgeting technique brought out that there were added returns of '718 per acre by application of NCU on the sample farms. It was also revealed by all the respondents that there was no change in the texture of the soil, soil moisture retention capacity, water infiltration rate, soil softness and decline in the compaction of the soil due to application of NCU but there was higher retention of nitrate in the soil and thereby its slow release to the crop. Also, the NCU usage on the sample farms increased while cost of pest and disease control measures declined. High price of NCU, inadequate/shortage of supply during peak season and poor quality of NCU in some of the co-operative societies were the major problems reported by the respondents. Major suggestions were; assured/timely and adequate supply of NCU to co-operative societies and organizing training camps for spreading awareness. Major policy issue suggested was to lay emphasis on ensuring good quality, adequate quantity and timely supply of NCU along with bringing its price at par with NU.",,10.1126/science.291.5503.478,
,'just one of us': consumers playing oligopoly in mixed markets,"Marini, MA; Zevi, A",JOURNAL OF ECONOMICS,0931-8658,104,3,239-263,2011,SPRINGER WIEN,http://dx.doi.org/10.1007/s00712-011-0219-7,"Limited control models of reproductive skew in cooperative societies suggest that the frequency of breeding by subordinates is determined by the outcome of power struggles with dominants. In contrast, optimal skew models suggest that dominants have full control of subordinate reproduction and allow subordinates to breed only when this serves to retain subordinates' assistance with rearing dominants' own Litters. The results of our 7-year field study of cooperative meerkats, Suricata suricatta, support the predictions of Limited control models and provide no indication that dominant females grant reproductive concessions to subordinates to retain their assistance with future breeding attempts.",,10.1007/s00712-011-0219-7,Consumer cooperatives; Profit-maximizing firms; Mixed oligopoly
,sahada lift irrigation cooperative society revisited - retrospect and prospect,"BARIK, BC",MAN IN INDIA,0025-1569,74,2,153-167,1994,MAN INDIA PUB,,"Consumer cooperatives represent a highly successful example of democratic form of enterprises operating in developed countries. They are usually medium to large-scale companies competing with the profit-maximizing firms in the retail sector. This paper describes this situation as a mixed oligopoly in which consumer cooperatives maximize the utility of consumer-members and, in return, refund them with a share of the profits corresponding to the ratio of their individual spending to the cooperative's total sales. We show that when consumers possess quasi-linear preferences over a bundle of symmetrically differentiated goods, and companies operate using a linear technology, the presence of consumer cooperatives positively affects total industry output, as well as welfare. The effect of cooperatives on welfare proves to be even more significant when goods are either complements or highly differentiated, and when competition is a la Cournot rather than a la Bertrand.",,,
,transformative social innovation and (dis)empowerment,"Avelino, F; Wittmayer, JM; Pel, B; Weaver, P; Dumitru, A; Haxeltine, A; Kemp, R; Jorgensen, MS; Bauler, T; Ruijsink, S; O'Riordan, T",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,145,,195-206,2019,ELSEVIER SCIENCE INC,http://dx.doi.org/10.1016/j.techfore.2017.05.002,The paper examines the genesis of methodology of voluntary organization mobilizing and involving tribal farmers under the Lift Irrigation Co-operatives. For this reason the conditions of the tribal farmers and their responses in the perspective of Sahada Lift Irrigation Co-operatives under the auspices of NM Sadguru Water Development Foundation have been brought out and assessed in the context of irrigation management. Various stages of the administrative system and their impact on tribal life have been highlighted through close set occasional observations on the total system of functioning of these schemes. Some suggestions have been put forward here for the future sustainability of LI Schemes.,,10.1016/j.techfore.2017.05.002,Transformative social innovation; Governance; Empowerment; Societal challenges; Transformative change
,marketing community and democracy: rural rochdale co-operatives in australia,"Balnave, N; Patmore, G",CONSUMPTION MARKETS & CULTURE,1025-3866,13,1,61-77,2010,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",http://dx.doi.org/10.1080/10253860903346765,"This article responds to increasing public and academic discourses on social innovation, which often rest on the assumption that social innovation can drive societal change and empower actors to deal with societal challenges and a retreating welfare state. In order to scrutinise this assumption, this article proposes a set of concepts to study the dynamics of transformative social innovation and underlying processes of multi-actor (dis)empowerment. First, the concept of transformative social innovation is unpacked by proposing four foundational concepts to help distinguish between different pertinent 'shades' of change and innovation: 1) social innovation, (2) system innovation, (3) game-changers, and (4) narratives of change. These concepts, invoking insights from transitions studies and social innovations literature, are used to construct a conceptual account of how trans formative social innovation emerges as a co-evolutionary interaction between diverse shades of change and innovation. Second, the paper critically discusses the dialectic nature of multi-actor (dis)empowerment that underlies such processes of change and innovation. The paper then demonstrates how the conceptualisations are applied to three empirical case-studies of transformative social innovation: Impact Hub, Time Banks and Credit Unions. In the conclusion we synthesise how the concepts and the empirical examples help to understand contemporary shifts in societal power relations and the changing role of the welfare state.",,10.1080/10253860903346765,Rochdale co-operatives; rural; community; retailing; consumer
,"searching for answers on dignity, knowledge and engagement in a worker cooperative society","Rajan, SG; Paul, GDB",IIMB MANAGEMENT REVIEW,0970-3896,33,2,166-176,2021,ELSEVIER,http://dx.doi.org/10.1016/j.iimb.2021.03.008,"The Riverina region of New South Wales has a history of co-operative forms of production and consumption. This paper focuses on three Rochdale rural consumer co-operatives in this region. While the paper argues that marketing the co-operatives in terms of their community links and democratic structure was important to their success over many years, it was not sufficient to ensure survival. Co-operatives found it necessary to highlight their competitive prices and the quality of their goods. They were vulnerable to changes in the rural economy that led to a decline in the local population. Their survival also depended on the quality of their management, with poor investment decisions and recruitment practices undermining profitability. Generous credit policies also undermined the co-operatives financially. By comparing the three co-operatives and their communities, this paper aims to develop a more sophisticated approach to explaining the survival and demise of Rochdale consumer co-operatives in rural Australia.",,10.1016/j.iimb.2021.03.008,Dignity; Meaningful work; Knowledge; Cooperation; Engagement
,threats to the retail sector and opportunities for consumer cooperatives in the czech republic,"Cimler, P",OPPORTUNITIES AND THREATS TO CURRENT BUSINESS MANAGEMENT IN CROSS-BORDER COMPARISON 2014,,,25,11-18,2014,VERLAG GUC-GESELLSCHAFT UNTERNEHMENSRECHNUNG CONTROLLING M B H,,"The broad contour of an individual's concept of dignity seems to have been drawn from the underlying socio-cultural-political milieu which conditions thought processes. The paper explores key concerns on dignity raised by social theorists and the answers which meaningful work, knowledge, cooperation and engagement render. The case ecosystem of ABC House exemplifies layers of exchanges within its walls and how they fittingly address concerns. The embedded design of this case study attempts to decipher engagement within the structure through the insights of the critical actors who exemplify agency. (C) 2021 Published by Elsevier Ltd on behalf of Indian Institute of Management Bangalore.",,,Retail sector; FMCG; consumer cooperatives; joint purchasing; store chains
,measuring efficiency in local government: an analysis of new south wales municipalities' domestic waste management function,"Worthington, AC; Dollery, BE",POLICY STUDIES JOURNAL,0190-292X,29,2,232-249,2001,POLICY STUDIES ORGANIZATION,0,"The retail business is exposed to threats resulting from the tight competition mainly on the FMCG market, but it also has opportunities in the form of various types of cooperation and business management. One such example are the measures adopted by consumer cooperatives in the Czech Republic (the COOP Group). Worthy of attention and a thorough analysis are mainly the opportunities in the following areas: joint purchasing using a procurement center, store chain system and services offered in stores.",,10.1111/j.1541-0072.2001.tb02088.x,
,data quality and firm performance: empirical evidence from the korean financial industry,"Xiang, JY; Lee, S; Kim, JK",INFORMATION TECHNOLOGY & MANAGEMENT,1385-951X,14,1,59-65,2013,SPRINGER,0,"Data envelopment analysis is used to measure the technical and scale efficiency of the domestic taste management function in 103 New South Wales local governments. After allowance is made for nondiscretionary environmental factors that may affect the provision of these local public sen,ices, such as congestion and the inability to operate machinery in densely populated urban areas, comparison of efficiency across geographic/demographic criteria is made. The results suggest that, on average, waste management inputs could be reduced to just over 65% of the current level based upon observable best-practice, while productivity losses due to scale effects account for slightly, over 15% of total inputs. The results also indicate that inefficiency in urban developed councils is largely the result of congestion and other collection difficulties encountered in densely populated areas while inefficiency in regional and rural councils stems from an inability to attain an optimal scale of operations.",,10.1007/s10799-012-0145-6,Data quality; Firm performance; Financial industry; Maturity model; Financial accounting data
,"the role of microfinance in the rural development process; case study of tandem hilir ii village, hamparan perak sub district, district of deli serdang","Iswanto; Darmawan, D","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON PUBLIC POLICY, SOCIAL COMPUTING AND DEVELOPMENT 2017 (ICOPOSDEV 2017)",2352-5398,141,,86-91,2017,ATLANTIS PRESS,,"Despite popular belief that timely and precise data are important and indispensable to good decisions and that good decisions are related to better firm performance, empirical research that examines the effect of data quality on firm performance is still scarce. How great an impact does data quality have on firm performance? This study empirically investigates the effect of firm-level data quality on firm performance in the Korean financial industry during 2008-2010. The results show that commercial banks have high-quality data, while credit unions have comparatively low-quality data. They also show that better data quality has a positive influence on sales, operating profit, and value added. Improving the level of data quality management maturity by one can increase firm performance by 33.7 % in sales, 64.4 % in operating profit, and 26.2 % in value added.",,,microfinance; rural development process; empowerment
,co-operation among irish beef farmers: current perspectives and future prospects in the context of new producer organisation (po) legislation,"Teresa, H; Aine, MW; Olive, M; Carol, P; Maeve, H",SUSTAINABILITY,,10,11,-,2018,MDPI,0,"The potential of community fundraising in the villages through microfinance is actually very large, the through of institution of informal and semi-formal microfinance that is managed by the community itself, such as: credit unions, womens microfinance groups, grameen banks and arisan or jula-jula (the local tradition of micrifinance). The influence of microfinance so far is still limited to help the community in overcoming the risk of relative vulnerability level and small business activity in the scale is still very limited. Claims on the success of the microfinance program as a model of village development and helping the poor from the poorest are not proven. The position of microfinance has not been able to speak much; its influence is still very small in the rural development proces t in the village. Management of the microfinance institutions is still limited to small groups that are separate and have not been able to be assembled into a larger and stronger group at the village level with a wide range.",,10.3390/su10114085,Ireland; beef farms; producer organisations; product differentiation; co-operative; values-based supply chain
,does branch network size influence positively the management performance of japanese regional banks?,"Kondo, K",APPLIED ECONOMICS,0003-6846,50,56,6061-6072,2018,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0,"Irish beef farms have experienced poor viability longitudinally, with industry and policy actors citing 'crisis' levels in 2013. A crucial differentiator between the beef sector and the dairy sector, which has higher farm incomes, is well-developed infrastructure of farmer-owned dairy processing and marketing co-operatives. To address the lack of representative farmer organisations and power imbalances in the beef supply chain, in 2016 the Department of Agriculture Food and the Marine (DAFM) legislated for the establishment of beef Producer Organisations (POs), facilitating beef producers to collectively strengthen their market positioning. While PO legislation is a significant development in potentially enabling supply chain integration of farmers, how the legislation is operationalised by Irish beef industry stakeholders will ultimately shape the nature and breadth of engagement with the PO model and, consequently, the impact of the legislation. In a context where there is little or no prior experience of such organisations in the beef sector, this paper presents an analysis of current stakeholder views in relation to the establishment of POs. Research involved a desk based review of the submissions made during the consultation period for the beef PO legislation and interviews with key informants in the Irish beef industry. We analysed Irish stakeholders' views through the lens of lessons learned from the existing literature on how POs operate internationally. Results indicate some stakeholders' perceptions of the need for a nationally coordinated approach in the establishment of an Association of POs, which concurs with the literature. However, stakeholders have not emphasised the benefits of Interbranch Organisations (IBOs), which involve vertical collaboration with other chain actors such as processors and retailers, an approach that has proven successful internationally. Nor have Irish stakeholders identified the potential of differentiating or premiumising beef products, which, according to international evidence, is necessary for improving profitability and farm-level incomes. Stakeholders identified the main threats to the future success of POs in Ireland as members' lack of commitment and processors' lack of willingness to engage with POs.",,10.1080/00036846.2018.1489114,Region-based relationship banking policy; regional bank; branch; loans and bills discounted; profit ratio
,"impact of savings and credit co-operative societies' services on household livelihood outcomes in mwanza and tabora rural areas, tanzania","Msuya, RI; Kazuzuru, B; Mataba, L; Kessy, SSA",INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,0306-8293,50,3,436-451,2023,EMERALD GROUP PUBLISHING LTD,0,"This article investigates whether branch network expansions by Japanese regional banks influence their management performances positively at a time when management environments surrounding regional financial institutions have become increasingly severe due to the population decreases and shrinkage of regional economies. Specifically, the effects of numbers of regional bank branches on their credit businesses and profits are empirically examined. The results indicated that regional banks with more branches can increase their loans and bills discounted as well as their small and mid-sized enterprises loans and bills discounted. Thus, establishing more branches is effective in increasing the total sum of loans and bills discounted by each bank because regional banks with many branches can make contact with more customers. On the other hand, return on assets and return on equity of regional banks with more branches were found to be lower. Therefore, regarding the cost performance of regional banks, establishing too many branches and maintaining branch networks that are too large can have negative effects on regional banks.",,10.1108/IJSE-01-2021-0028,Impact of SACCOS' services; Livelihood outcomes; Mwanza; Tabora; Rural areas
,antecedents of the management control system in credit cooperatives in southern brazil,"Frare, AB; Horz, V; Quintana, AC; da Cruz, APC",CONTABILIDADE GESTAO E GOVERNANCA,1984-3925,24,1,109-129,2021,"UNIV BRASILIA, BUS ADM DEPT",0,"Purpose This study investigates whether Savings and Credit Co-operatives' (SACCOS) services such as loans, savings and training improve household livelihood outcomes. Design/methodology/approach The study employed a quasi-experimental design. Six SACCOS were purposively selected in four districts of Mwanza and Tabora regions in Tanzania. A sample of 500 respondents was randomly selected of whom 200 were SACCOS' members and 300 were non-members. A questionnaire and a key informant interview guide were used to collect quantitative and qualitative data respectively. Propensity Score Matching (PSM) was used to analyse the quantitative data whereas qualitative data was subjected to thematic analysis. Findings The results indicate that SACCOS' services had significantly impacted on the household livelihood outcomes in terms of maize yields, household assets, savings, food expenditures and non-food expenditures. Research limitations/implications This study was conducted in two regions of Tanzania using six SACCOS. Similar studies can be conducted in a larger area of Tanzania by capturing more than six SACCOS. In addition, the study focused on the rural areas of Tanzania. The future studies can be carried out in urban areas or both urban and rural areas of Tanzania. Practical implications Local leaders, SACCOS' leaders and other stakeholders in the study area should thus mobilise non-members in their areas to join SACCOS. In addition, the Tanzania government should facilitate the formation of new SACCOS and strengthen those already operating in rural areas. Social implications SACCOS provide opportunities for individuals and households in rural areas to converge socially and economically to achieve better results (positive impact on livelihood outcomes), which otherwise could be non-achievable through single household or individual efforts. Originality/value Unlike previous studies, this study provides empirical evidence on the impact of SACCOS' services on livelihood outcomes of SACCOS members in rural areas of Tanzania where abject poverty is widespread and where the majority of SACCOS are found.",,10.51341/1984-3925_2021v24n1a7,Management Control System; Credit Cooperatives; Strategic Uncertainty; Strategic Risk; Simons' Levers of Control
,who gets credit for input? demographic and structural status cues in voice recognition,"Howell, TM; Harrison, DA; Burris, ER; Detert, JR",JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,100,6,1765-1784,2015,AMER PSYCHOLOGICAL ASSOC,0,"Objective: Considering the turbulent economic environment as well as the peculiarities of the operations conducted by cooperative entities, this study sought to analyze the connections between strategic risks and uncertainties and the use of the Management Control System (MCS) by credit cooperatives in Brazil's South region. Method: This is a quantitative study, conducted as a survey with a sample of 57 credit cooperatives. The data was analyzed through Structural equation modeling, with partial least square estimation on SmartPLS 3.0 software. The strategic risk and strategic uncertainty constructs were analyzed in relation to their connection with Simons' Levers of Control (1995), which contemplates the beliefs and boundary controls and interactive and diagnostic control systems. Furthermore, the connections between the four Levers of Control are also analyzed. Originality/Relevance: The study covers the antecedents (strategic risks and uncertainties) of MCS use, contemplating different compositions of type and class in credit cooperatives, taking previous studies into consideration, as well as covering a singular and pertinent region in the context of Brazilian credit cooperatives. Results: Strategic risk is not associated with the use of the Management Control System. Strategic uncertainty was proven to be the element that receives the most importance from managers in the process of using the four Levers of Control. Regarding the beliefs system construct, its importance is positively linked to the interactive control system, as also occurs with the connection between the interactive control system and the diagnostic control system. Theoretical/Methodological contributions: The study demonstrates the pertinence of the Levers of Control for credit cooperatives, inserted in the context of strategic risks and uncertainties. Social/management contributions: The findings bring about relevant contributions by proving that the balanced use of the four Levers of Control is relevant for promoting the strategic renovation of credit cooperatives, especially regarding strategic uncertainty.",,10.1037/apl0000025,employee voice; status characteristics; discrimination
