authors,title,source_title,issn,doi,year,base,journal_title,h_index,avaliador,situacao
Ward A.M.; Forker J.; Reilly B.,the effect of bundling trade association monitoring and female board representation on loan losses in community credit unions,nonprofit and voluntary sector quarterly,8997640,10.1177/08997640211001436,2021,scopus,Nonprofit and Voluntary Sector Quarterly,96,Davi,
Grodgangunt S.; Saisaka M.; Songmuang J.; Piasinthu J.; Adulyasas A.,development of potential in valueadded marketing strategy management and application for durian agrocommunity enterprise in deep south provinces,abac journal,8580855,NA,2021,scopus,ABAC Journal,6,Davi,
Hernández-Espallardo M.; Arcas-Lario N.; Sánchez-Navarro J.L.; Marcos-Matás G.,curbing members opportunism in firsttier and federated agricultural marketing cooperatives,agribusiness,7424477,10.1002/agr.21718,2022,scopus,Agribusiness,49,Davi,
Singsee K.; Suttawet C.,the application of the international cooperative principles by the thai cooperative enterprises the experiences and the future improvement,abac journal,8580855,NA,2021,scopus,ABAC Journal,6,Davi,
Dary S.K.; Grashuis J.,characterization of farmerbased cooperative societies in the upper west region of ghana,annals of public and cooperative economics,13704788,10.1111/apce.12305,2021,scopus,Annals of Public and Cooperative Economics,42,Davi,
"Jin S.; Jia X.; James H.S., Jr.",risk attitudes within farmer cooperative organizations evidence from chinas fresh apple industry,annals of public and cooperative economics,13704788,10.1111/apce.12287,2021,scopus,Annals of Public and Cooperative Economics,42,Davi,
Castellanza L.,discipline abjection and poverty alleviation through entrepreneurship a constitutive perspective,journal of business venturing,8839026,10.1016/j.jbusvent.2020.106032,2022,scopus,Journal of Business Venturing,211,Davi,
Whitaker A.,economies of scope in artists incubator projects,journal of cultural economics,8852545,10.1007/s10824-021-09417-4,2021,scopus,Journal of Cultural Economics,48,Davi,
Candemir A.; Duvaleix S.; Latruffe L.,agricultural cooperatives and farm sustainability  a literature review,journal of economic surveys,9500804,10.1111/joes.12417,2021,scopus,Journal of Economic Surveys,105,Davi,
Maestre-Matos M.; Lombana-Coy J.; Mesías F.J.; Elghannam A.,institutional factors that affect inclusive businesses the case of banana cooperatives in the magdalena region colombia,international journal of rural management,9730052,10.1177/0973005221991603,2021,scopus,International Journal of Rural Management,13,Davi,
Jang E.; Park D.-B.,factors influencing the community capacity of rural residents in south korea,rural society,10371656,10.1080/10371656.2022.2083856,2022,scopus,Rural Society,28,Davi,
Kim R.; Kim D.-H.; Cho S.; Choi E.; Park J.; Lee S.K.; Son Y.,assessment of redd+ mrv capacity in developing countries and implications under the paris regime,land,2073445X,10.3390/land10090943,2021,scopus,Land,42,Davi,
Ranacher L.; Pollakova B.; Schwarzbauer P.; Liebal S.; Weber N.; Hesser F.,farmers willingness to adopt short rotation plantations on marginal lands qualitative study about incentives and barriers in slovakia,bioenergy research,19391234,10.1007/s12155-020-10240-6,2021,scopus,Bioenergy Research,69,Davi,
Veronica P.; Victor M.-G.; Elena M.-M.; Jose-Maria G.-A.-C.,drivers of joint cropland management strategies in agrifood cooperatives,journal of rural studies,7430167,10.1016/j.jrurstud.2021.04.003,2021,scopus,Journal of Rural Studies,124,Davi,
Garcia-Alvarez-Coque J.-M.; Martinez-Gomez V.; Tudela-Marco L.,multiactor arrangements for farmland management in eastern spain,land use policy,2648377,10.1016/j.landusepol.2021.105738,2021,scopus,Land Use Policy,138,Davi,
Zhong Z.; Jia F.; Long W.; Chen K.Z.,risk sharing benefit distribution and cooperation longevity sustainable development of dairy farmer cooperatives in china,international journal of agricultural sustainability,14735903,10.1080/14735903.2022.2041229,2022,scopus,International Journal of Agricultural Sustainability,47,Davi,
Unda L.A.; Ranasinghe D.,to pay or not pay board remuneration and insolvency risk in credit unions,pacific basin finance journal,0927538X,10.1016/j.pacfin.2019.03.005,2021,scopus,Pacific Basin Finance Journal,67,Davi,
Udawatta R.P.; Jose S.; Hefner S.; Brinkman K.,using edgeoffield monitoring to characterize water quality a farmer cooperative case study in northern missouri,"agrosystems, geosciences and environment",26396696,10.1002/agg2.20205,2021,scopus,"Agrosystems, Geosciences and Environment",13,Davi,
Kuhar V.; Kot E.; Loretts O.; Terekhova O.; Ruchkin A.; Yurchenko N.,analysis of the effectiveness of state support to farms in region of russia the case of sverdlovsk region,journal of environmental management and tourism,20687729,10.14505/jemt.11.3(43).21,2020,scopus,Journal of Environmental Management and Tourism,19,Davi,
Rafael de Souza L.,the return of surpluses by brazilian credit unions promotion to the individual economy of the member in detriment of its effective economic participation a devolução dos excedentes pelas cooperativas de crédito brasileiras fomento à economia individual do associado em detrimento da sua efetiva participação econômica,boletin de la asociacion internacional de derecho cooperativo,1134993X,10.18543/BAIDC-53-2018PP139-155,2020,scopus,Boletin de la Asociacion Internacional de Derecho Cooperativo,7,Davi,
Luvián-Reyes G.; Rosas-Baños M.,expanded abstract stability in small cooperatives in mexico city an analysis from the perspective of solid modernity and the social and solidarity economy la estabilidad en pequeñas cooperativas de la ciudad de méxico un análisis desde la modernidad sólida y la economía social y solidaria,"ciriec-espana revista de economia publica, social y cooperativa",2138093,10.7203/CIRIEC-E.102.18394,2021,scopus,NA,13,Davi,
Hatanaka M.,beyond consuming ethically food citizens governance and sustainability,journal of rural studies,7430167,10.1016/j.jrurstud.2020.04.006,2020,scopus,Journal of Rural Studies,124,Davi,
Jentzsch H.,japans changing regional world of welfare agricultural reform hamletbased collective farming and the local renegotiation of social risks,pacific affairs,0030851X,10.5509/2020932327,2020,scopus,Pacific Affairs,42,Davi,
Olagunju K.O.; Ogunniyi A.I.; Oyetunde-Usman Z.; Omotayo A.O.; Awotide B.A.,does agricultural cooperative membership impact technical efficiency of maize production in nigeria an analysis correcting for biases from observed and unobserved attributes,plos one,19326203,10.1371/journal.pone.0245426,2021,scopus,PLoS ONE,404,Davi,
Moskovich Y.,management style in kibbutz industries,management research review,20408269,10.1108/MRR-05-2019-0188,2020,scopus,Management Research Review,65,Davi,
Hidalgo-Fernández A.; Moreira Mero N.; Loor Alcivar M.I.; González Santa Cruz F.,analysis of organizational commitment in cooperatives in ecuador,journal of management development,2621711,10.1108/JMD-05-2019-0180,2020,scopus,Journal of Management Development,69,Davi,
Sirine H.; Andadari R.K.; Suharti L.,social engagement network and corporate social entrepreneurship in sido muncul company indonesia,"journal of asian finance, economics and business",22884637,10.13106/jafeb.2020.vol7.no11.885,2020,scopus,NA,25,Davi,
Hungsapruek T.,efficiency and effectiveness formation of thailands southern agricultural cooperative connection with vegetable value chain,academy of strategic management journal,15441458,NA,2021,scopus,NA,25,Davi,
Viergutz T.; Zubek N.; Schulze-Ehlers B.,the spatial variation of switching rates in large cooperative membership bases empirical evidence from the dairy sector,european review of agricultural economics,1651587,10.1093/erae/jbz042,2020,scopus,European Review of Agricultural Economics,70,Davi,
Filippi M.; Chapdaniel A.,sustainable demandsupply chain an innovative approach for improving sustainability in agrifood chains,international food and agribusiness management review,15592448,10.22434/IFAMR2019.0195,2021,scopus,International Food and Agribusiness Management Review,42,Davi,
Nakanishi Y.,interplay between coopetition and institutions how japanese airlines enhance bargaining power,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2020.100120,2020,scopus,Journal of Co-operative Organization and Management,17,Davi,
Oliveira Junior O.P.; Wander A.E.,factors for the success of agricultural cooperatives in brazil,journal of agriculture and rural development in the tropics and subtropics,16129830,10.17170/kobra-202102113202,2021,scopus,Journal of Agriculture and Rural Development in the Tropics and Subtropics,22,Davi,
Nayak N.S.; Billava N.; Ashalata K.V.,agriculture insurances outreach constrained by procedural delays and norms reflections from north karnataka india,research on world agricultural economy,27374777,10.36956/rwae.v1i1.242,2020,scopus,NA,NA,Davi,
Jääskeläinen A.; Yanatma S.; Ritala P.,how does an incumbent news media organization become a platform employing intrafirm synergies to launch the platform business model in a news agency,journalism studies,1461670X,10.1080/1461670X.2021.1979426,2021,scopus,Journalism Studies,75,Davi,
Rojanapanich A.,factors to success in accounting management business of saving and credit cooperative in thailand,review of international geographical education online,21460353,10.48047/rigeo.11/5/39,2021,scopus,NA,10,Davi,
Okafor S.O.; Onu J.C.; Nwaeze V.C.,rural smallscale women farmers and preference for family size in southeast nigeria,comparative population studies,18698980,10.12765/CPoS-2021-02,2021,scopus,Comparative Population Studies,19,Davi,
Yawson D.O.,climate mitigation and hidden vulnerabilities widening the food gap between the global north and south,environmental justice,19394071,10.1089/env.2020.0029,2020,scopus,Environmental Justice,28,Davi,
Mumi A.; Joseph G.; Quayes S.,organizational and legal institutions and the performance of microfinance institutions as hybrid entities,journal of accounting and organizational change,18325912,10.1108/JAOC-02-2020-0022,2020,scopus,Journal of Accounting and Organizational Change,31,Davi,
Lilavanichakul A.; Parthanadee P.; Wiratchai A.,exploring the relationship between activity cost and aroma loss of hom mali rice during postharvest stage,kasetsart journal of social sciences,24523151,10.34044/j.kjss.2021.42.1.03,2021,scopus,Kasetsart Journal of Social Sciences,23,Davi,
Hakizimfura E.; Randall D.; Zia B.,decentralized delivery of financial education experimental evidence from rwanda,journal of development economics,3043878,10.1016/j.jdeveco.2020.102439,2020,scopus,Journal of Development Economics,160,Davi,
Paul Forrester J.; Antonopoulos J.J.,green shoots for us credit union securitizations an examination of the related ncua safe harbor,journal of structured finance,15519783,10.3905/jsf.2020.1.101,2020,scopus,Journal of Structured Finance,4,Davi,
Deng W.; Hendrikse G.; Liang Q.,internal social capital and the life cycle of agricultural cooperatives,journal of evolutionary economics,9369937,10.1007/s00191-020-00690-8,2021,scopus,Journal of Evolutionary Economics,79,Davi,
Ma M.; Zhu H.,efficiency of decisions under membership heterogeneity and government regulations insights from farmer cooperatives in china,economic development and cultural change,130079,10.1086/701318,2020,scopus,Economic Development and Cultural Change,80,Davi,
Dohmwirth C.; Liu Z.,does cooperative membership matter for womens empowerment evidence from south indian dairy producers,journal of development effectiveness,19439342,10.1080/19439342.2020.1758749,2020,scopus,Journal of Development Effectiveness,28,Davi,
Luo Q.; Andreas J.,mobilizing compliance how the state compels village households to transfer land to large farm operators in china,journal of peasant studies,3066150,10.1080/03066150.2020.1822340,2020,scopus,Journal of Peasant Studies,98,Davi,
Galang R.M.N.; Lavado R.F.; White III G.O.; Francisco J.P.S.,imposing cooperation the impact of institutions on the efficiency of cooperatives in the philippines,journal of asia business studies,15587894,10.1108/JABS-05-2019-0135,2020,scopus,Journal of Asia Business Studies,27,Davi,
Lucas-Martínez G.; Martín-Ugedo J.F.; Minguez-Vera A.,members perceptions of governance in agricultural cooperatives evidence from spain,outlook on agriculture,307270,10.1177/0030727020907334,2020,scopus,Outlook on Agriculture,34,Davi,
Durevall D.,fairtrade and market efficiency fairtradelabeled coffee in the swedish coffee market,economies,22277099,10.3390/ECONOMIES8020030,2020,scopus,Economies,25,Davi,
Redondo-Sama G.,supporting democracy through leadership in organizations,qualitative inquiry,10778004,10.1177/1077800420938885,2020,scopus,Qualitative Inquiry,95,Davi,
Ferrero M.,a theory of revolutionary organizations,economics of governance,14356104,10.1007/s10101-020-00238-3,2020,scopus,Economics of Governance,28,Davi,
Karanja E.M.; Odawa R.,the determinants of ecommerce in saving and credit cooperative societies an empirical study from kenya,international journal of business information systems,17460972,10.1504/IJBIS.2021.113967,2021,scopus,International Journal of Business Information Systems,31,Davi,
Deng L.; Chen L.; Zhao J.; Wang R.,comparative analysis on environmental and economic performance of agricultural cooperatives and smallholder farmers the case of grape production in hebei china,plos one,19326203,10.1371/journal.pone.0245981,2021,scopus,PLoS ONE,404,Davi,
Hasanov M.; Trienekens J.; Dolfsma W.,advancing food and agribusiness management research ifama 2020 best papers,international food and agribusiness management review,15592448,10.22434/IFAMR2021.x003,2021,scopus,International Food and Agribusiness Management Review,42,Davi,
Qian X.; Olsen T.L.,operational and financial decisions within proportional investment cooperatives,manufacturing and service operations management,15234614,10.1287/msom.2018.0762,2020,scopus,Manufacturing and Service Operations Management,102,Davi,
Ma W.; Zhu Z.,a note reducing cropland abandonment in china  do agricultural cooperatives play a role,journal of agricultural economics,0021857X,10.1111/1477-9552.12375,2020,scopus,Journal of Agricultural Economics,70,Davi,
Underhill B.,cooperatives and political development in png colonial failure or unrecognized success,journal of pacific history,223344,10.1080/00223344.2019.1665461,2020,scopus,Journal of Pacific History,21,Davi,
Jankelová N.; Joniaková Z.,the role of innovative work behaviour and knowledgebased dynamic capabilities in increasing the innovative performance of agricultural enterprises,agricultural economics (czech republic),0139570X,10.17221/151/2021-AGRICECON,2021,scopus,Agricultural Economics (Czech Republic),29,Davi,
Shi Z.; Cao E.,contract farming problems and games under yield uncertainty,australian journal of agricultural and resource economics,1364985X,10.1111/1467-8489.12400,2020,scopus,Australian Journal of Agricultural and Resource Economics,56,Davi,
Ofori E.,financial planning for retirement of selfemployed workers in the ghanaian economy,international journal of social economics,3068293,10.1108/IJSE-04-2020-0189,2021,scopus,International Journal of Social Economics,44,Davi,
Chisika S.N.; Yeom C.,the key factors affecting tree producer associations involved in private commercial forestry in kenya,sustainability (switzerland),20711050,10.3390/SU12104013,2020,scopus,Sustainability,136,Davi,
Grashuis J.; Dary S.K.,design principles of common property institutions the case of farmer cooperatives in the upper west region of ghana,international journal of the commons,18750281,10.5334/ijc.1056,2021,scopus,International Journal of the Commons,33,Davi,
Nizam D.; Yenal Z.,seed politics in turkey the awakening of a landrace wheat and its prospects,journal of peasant studies,3066150,10.1080/03066150.2019.1708725,2020,scopus,Journal of Peasant Studies,98,Davi,
Ismail A.M.; Ahmadi S.M.; Yatim N.; Ismail P.M.,the impact of board characteristics on cooperative reputation from the lense of resourcebased view theory rbvt,international journal of financial research,19234023,10.5430/ijfr.v11n3p43,2020,scopus,NA,NA,Davi,
Hakelius K.; Nilsson J.,the logic behind the internal governance of swedens largest agricultural cooperatives,sustainability (switzerland),20711050,10.3390/su12219073,2020,scopus,Sustainability,136,Davi,
Kim T.-W.; You Y.-Y.; Hong J.-W.,a study on effect of servant leadership and perceived organizational support on characteristics of agile organizational culture,research in world economy,19233981,10.5430/rwe.v11n2p1,2020,scopus,NA,9,Davi,
Alotaibi B.A.; Kassem H.S.; Nayak R.K.; Muddassir M.,farmers beliefs and concerns about climate change an assessment from southern saudi arabia,agriculture (switzerland),20770472,10.3390/agriculture10070253,2020,scopus,Agriculture (Switzerland),52,Davi,
French D.; McKillop D.; Stewart E.,the effectiveness of smartphone apps in improving financial capability,european journal of finance,1351847X,10.1080/1351847X.2019.1639526,2020,scopus,European Journal of Finance,43,Davi,
Yobe C.L.; Ferrer S.R.D.; Mudhara M.,measuring the financial efficiency of agricultural cooperatives in south africa an application of the simarwilson methodology,agrekon,3031853,10.1080/03031853.2020.1761845,2020,scopus,Agrekon,30,Davi,
Webering S.I.,cooperative cooperation being doing and becoming cooperação cooperativa o ser o fazer e o devir,revista de administracao contemporanea,14156555,10.1590/1982-7849rac2020190332,2020,scopus,Revista de Administracao Contemporanea,2,Davi,
Osorio Mercado H.; Sánchez González M.J.,derechos de propiedad de la tierra de los indígenas los afrodescendientes y los campesinos en nicaragua durante la revolución sandinista y postrevolución 19792021 land ownership rights of indigenous people afrodescendants and peasants in nicaragua during the sandinista revolution and postrevolution 19792021,canadian journal of latin american and caribbean studies,8263663,10.1080/08263663.2021.1970330,2021,scopus,Canadian Journal of Latin American and Caribbean Studies,14,Davi,
Gómez G.; Mena A.; López R.B.,study of the determinant factors of the growth of municipal savings and credit cooperatives in peru estudio de los factores determinantes del crecimiento de las cajas municipales de ahorro y crédito del perú,contaduria y administracion,1861042,10.22201/FCA.24488410E.2018.1596,2021,scopus,Contaduria y Administracion,19,Davi,
Su Y.; Cook M.L.,advances in agricultural cooperative research since 2007 a review of chinese agricultural economics literature,annals of public and cooperative economics,13704788,10.1111/apce.12273,2020,scopus,Annals of Public and Cooperative Economics,42,Davi,
Janssen E.M.; Mourits M.C.M.; van der Fels-Klerx H.J.; Oude Lansink A.G.J.M.,factors underlying dutch farmers intentions to adapt their agronomic management to reduce fusarium species infection in wheat,plos one,19326203,10.1371/journal.pone.0237460,2020,scopus,PLoS ONE,404,Davi,
Mwambi M.; Bijman J.; Mshenga P.,which type of producer organization is more inclusive dynamics of farmers membership and participation in the decisionmaking process,annals of public and cooperative economics,13704788,10.1111/apce.12269,2020,scopus,Annals of Public and Cooperative Economics,42,Davi,
Donkor E.; Hejkrlik J.,does commitment to cooperatives affect the economic benefits of smallholder farmers evidence from rice cooperatives in the western province of zambia,agrekon,3031853,10.1080/03031853.2021.1957692,2021,scopus,Agrekon,30,Davi,
Min L.; Tong X.; Sun H.; Ding D.; Xu B.; Chen W.; Wang G.; Li D.,aflatoxin m1 contamination in raw milk and its association with herd types in the ten provinces of southern china,italian journal of animal science,15944077,10.1080/1828051X.2021.1987159,2021,scopus,Italian Journal of Animal Science,46,Davi,
Schoemaker P.J.H.; Day G.S.,determinants of organizational vigilance leadership foresight and adaptation in three sectors,futures and foresight science,25735152,10.1002/ffo2.24,2020,scopus,NA,NA,Davi,
Taylor K.; Goodman N.P.,the stakeholderempowering philanthropy of edward filene,journal of institutional economics,17441374,10.1017/S1744137419000675,2020,scopus,Journal of Institutional Economics,33,Davi,
Huang F.; Liu J.; Wang Z.; Shuai C.; Li W.,of job skills and values exploring rural household energy use and solar photovoltaics in poverty alleviation areas in china,energy research and social science,22146296,10.1016/j.erss.2020.101517,2020,scopus,Energy Research and Social Science,94,Davi,
Sellare J.; Meemken E.-M.; Kouamé C.; Qaim M.,do sustainability standards benefit smallholder farmers also when accounting for cooperative effects evidence from côte divoire,american journal of agricultural economics,29092,10.1002/ajae.12015,2020,scopus,American Journal of Agricultural Economics,126,Davi,
Teixeira M.G.; Caleman S.M.Q.; Américo J.C.S.,multiple rational management and governance in agriculture cooperatives,corporate governance (bingley),14720701,10.1108/CG-08-2019-0245,2020,scopus,Corporate Governance (Bingley),72,Davi,
da Silva A.H.; Caleman S.M.D.Q.,allocation of property rights in emerging governance models of agricultural cooperatives in mato grosso do sul a comparative analysis with traditional cooperatives,revista de economia e sociologia rural,1032003,10.1590/1806-9479.2021.231502,2021,scopus,Revista de Economia e Sociologia Rural,21,Davi,
Pellegrini G.; Annosi M.C.; Contò F.; Fiore M.,what are the conflicting tensions in an italian cooperative and how do members manage them business goals integrated management and reduction of waste within a fruit and vegetables supply chain,sustainability (switzerland),20711050,10.3390/su12073050,2020,scopus,Sustainability,136,Davi,
Murguia Gonzalez A.; Giraldo O.F.; Mier Y Terán-Giménez Cacho M.; Rodríguez Castillo L.,policy pitfalls and the attempt to institutionalize agroecology in el salvador 20082018,agroecology and sustainable food systems,21683565,10.1080/21683565.2020.1725216,2020,scopus,Agroecology and Sustainable Food Systems,51,Davi,
Nor A.M.; Gray T.S.; Caldwell G.S.; Stead S.M.,a value chain analysis of malaysias seaweed industry,journal of applied phycology,9218971,10.1007/s10811-019-02004-3,2020,scopus,Journal of Applied Phycology,127,Davi,
Jankelová N.; Joniaková Z.,how to increase production performance of slovak agricultural companies the key task of supporting innovative work behavior and information sharing,agricultural economics (czech republic),0139570X,10.17221/319/2020-AGRICECON,2021,scopus,Agricultural Economics (Czech Republic),29,Davi,
Scharf E.R.; Gomes G.; Huck N.K.,internal marketing in brazilian credite cooperative marketing interno em cooperativa de crédito do brasil,revista brasileira de marketing,21775184,10.5585/REMARK.V19I4.16122,2021,scopus,Revista Brasileira de Marketing,6,Davi,
Ajates R.,an integrated conceptual framework for the study of agricultural cooperatives from repolitisation to cooperative sustainability,journal of rural studies,7430167,10.1016/j.jrurstud.2020.06.019,2020,scopus,Journal of Rural Studies,124,Davi,
Zhang S.; Wolz A.; Ding Y.,is there a role for agricultural production cooperatives in agricultural development evidence from china,outlook on agriculture,307270,10.1177/0030727020913283,2020,scopus,Outlook on Agriculture,34,Davi,
Hatanaka M.,technocratic and deliberative governance for sustainability rethinking the roles of experts consumers and producers,agriculture and human values,0889048X,10.1007/s10460-019-10012-9,2020,scopus,Agriculture and Human Values,86,Davi,
Mukama R.J.,jurisprudential theories of regulation of financial cooperative societies in tanzania a case of primary saccos credit advancement,bild law journal,25186523,NA,2020,scopus,BiLD Law Journal (discontinued),4,Davi,
Stringari E.H.; Petrauski A.; Petrauski S.M.C.; Azevedo R.L.; Savaris G.,construction and testing of glued laminated timber frames for use in laying poultry houses,engenharia agricola,1006916,10.1590/1809-4430-ENG.AGRIC.V40N2P122-131/2020,2020,scopus,Engenharia Agricola,30,Davi,
Imami D.; Valentinov V.; Skreli E.,food safety and value chain coordination in the context of a transition economy the role of agricultural cooperatives,international journal of the commons,18750281,10.5334/ijc.1039,2021,scopus,International Journal of the Commons,33,Davi,
Rufatto I.; Wernke R.,use and importance attributed to controlling practices according to the organizational life cycle in agricultural cooperatives of paraná,custos e agronegocio,18082882,NA,2020,scopus,Custos e Agronegocio,11,Davi,
Tselempis D.; Karipidis P.; Tzimas D.; Karypidou I.,factors that impact farmers engagement in local food brand development,euromed journal of business,14502194,10.1108/EMJB-06-2019-0079,2020,scopus,EuroMed Journal of Business,31,Davi,
Barros M.G.; Botelho da Costa Moraes M.; Salgado Junior A.P.; de Souza Junior M.A.A.,efficiency of credit unions in brazil an analysis of the evolution in financial intermediation and banking service,rausp management journal,25310488,10.1108/RAUSP-06-2018-0029,2020,scopus,RAUSP Management Journal,13,Davi,
Bierecki D.,legal status and development trends of credit unions in polish law and its compliance with the woccu standards and the international cooperative principles estado legal y tendencias de desarrollo de las cooperativas de ahorro y crédito en el derecho polaca y su cumplimiento de las normas woccu y los principios cooperativos internacionales,boletin de la asociacion internacional de derecho cooperativo,1134993X,10.18543/BAIDC-56-2020PP19-45,2020,scopus,Boletin de la Asociacion Internacional de Derecho Cooperativo,7,Davi,
de Camargo Debortoli E.; Monteiro A.L.G.; Gameiro A.H.; Saraiva L.C.V.F.,meat sheep farming systems according to economic and productive indicators a case study in southern brazil,revista brasileira de zootecnia,15163598,10.37496/RBZ5020200216,2021,scopus,Revista Brasileira de Zootecnia,59,Davi,
Bogetoft P.,how upstream cooperatives limit downstream holdups,journal of economic behavior and organization,1672681,10.1016/j.jebo.2020.11.036,2021,scopus,Journal of Economic Behavior and Organization,129,Davi,
Kirch Kirkegaard J.; Cronin T.; Nyborg S.; Karnøe P.,paradigm shift in danish wind power the unsustainable transformation of a sector,journal of environmental policy and planning,1523908X,10.1080/1523908X.2020.1799769,2021,scopus,Journal of Environmental Policy and Planning,61,Davi,
Donner M.; Gohier R.; de Vries H.,a new circular business model typology for creating value from agrowaste,science of the total environment,489697,10.1016/j.scitotenv.2020.137065,2020,scopus,Science of the Total Environment,317,Davi,
Apolo-Apolo O.E.; Martínez-Guanter J.; Egea G.; Raja P.; Pérez-Ruiz M.,deep learning techniques for estimation of the yield and size of citrus fruits using a uav,european journal of agronomy,11610301,10.1016/j.eja.2020.126030,2020,scopus,European Journal of Agronomy,131,Davi,
Ngamjan P.; Buranasiri J.,an investigation of the factors influencing the financial performance of agricultural cooperatives in thailand,pertanika journal of social sciences and humanities,1287702,NA,2020,scopus,Pertanika Journal of Social Science and Humanities,16,Davi,
Favalli R.T.; Gori Maia A.; da Silveira J.M.F.J.,governance and financial efficiency of brazilian credit unions,rausp management journal,25310488,10.1108/RAUSP-02-2019-0018,2020,scopus,RAUSP Management Journal,13,Davi,
Wilson R.,the case for respecting the status quo in islamic finance,"journal of king abdulaziz university, islamic economics",10187383,10.4197/Islec.33-2.6,2020,scopus,"Journal of King Abdulaziz University, Islamic Economics",12,Davi,
Hviid M.,the treatment of horizontal agreements aimed at solving incentive problems,antitrust bulletin,0003603X,10.1177/0003603X20929124,2020,scopus,Antitrust Bulletin,21,Davi,
Ustriyana I.N.G.; Budiasa I.W.; Lies Anggreni I.G.A.,analysis of perceptions of farmers toward the efforts to develop the dual role of subak in an upcoming tourism destination in jatiluwih bali,journal of environmental management and tourism,20687729,10.14505/jemt.v11.8(48).21,2020,scopus,Journal of Environmental Management and Tourism,19,Davi,
Ishak S.; Omar A.R.C.; Sum S.M.; Othman A.S.; Jaafar J.,smallholder agriculture cooperatives performance what is in the minds of management,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2020.100110,2020,scopus,Journal of Co-operative Organization and Management,17,Davi,
Middendorp R.S.; Boever O.; Rueda X.; Lambin E.F.,improving smallholder livelihoods and ecosystems through direct trade relations highquality cocoa producers in ecuador,business strategy and development,25723170,10.1002/bsd2.86,2020,scopus,Business Strategy and Development,17,Davi,
Doğan H.P.; Aydoğdu M.H.; Sevinç M.R.; Cançelik M.,farmers willingness to pay for services to ensure sustainable agricultural income in the gapharran plain şanlıurfa turkey,agriculture (switzerland),20770472,10.3390/agriculture10050152,2020,scopus,Agriculture (Switzerland),52,Davi,
Migo-Sumagang M.V.P.; Van Hung N.; Detras M.C.M.; Alfafara C.G.; Borines M.G.; Capunitan J.A.; Gummert M.,optimization of a downdraft furnace for rice strawbased heat generation,renewable energy,9601481,10.1016/j.renene.2019.11.001,2020,scopus,Renewable Energy,232,Davi,
Kahiluoto H.,food systems for resilient futures,food security,18764517,10.1007/s12571-020-01070-7,2020,scopus,Food Security,66,Davi,
Alemu D.; Guinan A.; Hermanson J.,contract farming cooperatives and challenges of side selling malt barley valuechain development in ethiopia,development in practice,9614524,10.1080/09614524.2020.1860194,2021,scopus,Development in Practice,49,Davi,
Sebhatu K.T.; Gezahegn T.W.; Berhanu T.; Maertens M.; Van Passel S.; D'Haese M.,conflict fraud and distrust in ethiopian agricultural cooperatives,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2020.100106,2020,scopus,Journal of Co-operative Organization and Management,17,Davi,
Oduor A.M.O.,livelihood impacts and governance processes of communitybased wildlife conservation in maasai mara ecosystem kenya,journal of environmental management,3014797,10.1016/j.jenvman.2020.110133,2020,scopus,Journal of Environmental Management,218,Davi,
Sys C.; Van de Voorde E.; Vanelslander T.; van Hassel E.,pathways for a sustainable future inland water transport a case study for the european inland navigation sector,case studies on transport policy,2213624X,10.1016/j.cstp.2020.07.013,2020,scopus,Case Studies on Transport Policy,31,Davi,
Nakamura Y.T.; Horimoto M.,a conceptual framework for developing women social entrepreneurs in japan,advances in developing human resources,15234223,10.1177/1523422320907046,2020,scopus,Advances in Developing Human Resources,53,Davi,
Reitan A.; Rubin O.D.; Rubin A.; Kimhi A.,privatization demographic growth and perceived sustainability lessons from the israeli renewing kibbutzim,sustainable development,9680802,10.1002/sd.1960,2019,scopus,Sustainable Development,81,Davi,
Apparao D.; Garnevska E.; Shadbolt N.,examining commitment heterogeneity and social capital within the membership base of agricultural cooperativesa conceptual framework,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2019.03.003,2019,scopus,Journal of Co-operative Organization and Management,17,Davi,
Gezahegn T.W.; Van Passel S.; Berhanu T.; D’haese M.; Maertens M.,do bottomup and independent agricultural cooperatives really perform better insights from a technical efficiency analysis in ethiopia,agrekon,3031853,10.1080/03031853.2019.1663223,2020,scopus,Agrekon,30,Davi,
Dai H.; Lau Y.; Lee K.H.,social innovation value penetration and the power of the nonprofit sector workers cooperative societies in hong kong,nonprofit and voluntary sector quarterly,8997640,10.1177/0899764019863107,2019,scopus,Nonprofit and Voluntary Sector Quarterly,96,Davi,
Janssen E.M.; Mourits M.C.M.; van der Fels-Klerx H.J.; Lansink A.G.J.M.O.,preharvest measures against fusarium spp infection and related mycotoxins implemented by dutch wheat farmers,crop protection,2612194,10.1016/j.cropro.2019.04.005,2019,scopus,Crop Protection,116,Davi,
Gorzelany J.; Belcar J.; Matłok N.,assessment of the quality of malt obtained from spring malting barley delivered to the san farmers cooperative in 2018,agricultural engineering,20831587,10.1515/agriceng-2019-0025,2019,scopus,Agricultural Engineering,5,Davi,
Sarath Chandran B.P.,india bimstec economic cooperation potential and prospects,indian journal of economics and development,22775412,10.5958/2322-0430.2019.00064.7,2019,scopus,Indian Journal of Economics and Development,4,Davi,
