authors,title,source_title,issn,doi,year,base
Brandão J.B.; Breitenbach R.,what are the main problems in the management of rural cooperatives in southern brazil,Land Use Policy,02648377,10.1016/j.landusepol.2019.03.047,2019,scopus
Ofori E.; Sampson G.S.; Vipham J.,the effects of agricultural cooperatives on smallholder livelihoods and agricultural performance in cambodia,Natural Resources Forum,01650203,10.1111/1477-8947.12180,2019,scopus
Kapelko M.; Moyano-Fuentes J.; Núñez-Nickel M.,technical efficiency of producer cooperatives versus private firms a longitudinal empirical study,Journal of Small Business Management,00472778,10.1111/jsbm.12385,2019,scopus
Drejeris R.; Miceikiene A.,multicriteria measurement of sustainable innovativeness in farming organisations evidence from lithuania,Sustainability (Switzerland),20711050,10.3390/su10093347,2018,scopus
Tarifa M.R.; Dos Reis L.G.; Almeida L.B.,levels of management accounting practices in agribusiness cooperativism,Custos e Agronegocio,18082882,,2019,scopus
Susanty A.; Bakhtiar A.; Puspitasari N.B.; Mustika D.,performance analysis and strategic planning of dairy supply chain in indonesia a comparative study,International Journal of Productivity and Performance Management,17410401,10.1108/IJPPM-10-2017-0250,2018,scopus
Collins T.,pursuing efficiency a data envelopment analysis of mfis in latin america,Applied Economics Letters,13504851,10.1080/13504851.2018.1486978,2019,scopus
Al Mutairi A.; Olson D.; Al Ghanim B.,measuring the technical efficiency of cooperative societies in kuwait,Managerial and Decision Economics,01436570,10.1002/mde.2962,2018,scopus
Chabeda-Barthe J.; Haller T.,resilience of traditional livelihood approaches despite forest grabbing ogiek to the west of mau forest uasin gishu county,Land,2073445X,10.3390/land7040140,2018,scopus
Mmari G.A.; Thinyane L.C.,analysis of factors influencing financial performance of savings and credit cooperative societies in lesotho evidence from maseru district,International Journal of Financial Research,19234023,10.5430/ijfr.v10n2p121,2019,scopus
Ducastel A.; Anseeuw W.,facing financialization the divergent mutations of agricultural cooperatives in postapartheid south africa,Journal of Agrarian Change,14710358,10.1111/joac.12255,2018,scopus
Morfi C.; Nilsson J.; Österberg H.,why farmers involve themselves in cooperative district councils,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12206,2018,scopus
Jeanneaux P.; Capitaine M.; Mauclair A.,perfcuma a framework to manage the sustainable development of small cooperatives,International Journal of Agricultural Management,20473710,10.5836/ijam/2018-07-68,2018,scopus
Ducati E.; Ferreira L.F.; de Araujo A.R.M.,biological assets a study on the applicability of cpc 29 in cooperative societies,Custos e Agronegocio,18082882,,2019,scopus
Cardoso J.; Silva V.; Eusebio D.; Trninić M.R.; Carvalho T.; Brito P.,technoeconomic analysis of olive pomace gasification for cogeneration applications in small facilities,Thermal Science,03549836,10.2298/TSCI180726410C,2019,scopus
Nicli S.; Mantilla-Contreras J.; Fernandez R.W.M.; Schermer M.; Unger D.; Wolf S.; Zerbe S.,socioeconomic political and institutional sustainability of agroforestry in alta verapaz guatemala,Journal of Agriculture and Rural Development in the Tropics and Subtropics,16129830,10.17170/kobra-20190613561,2019,scopus
Yu C.-Y.,an application of sustainable development in indigenous peoples revival the history of an indigenous tribes struggle in taiwan,Sustainability (Switzerland),20711050,10.3390/su10093259,2018,scopus
"Bautista R.A., Jr.",dynamics of social capital among fair trade and nonfair trade coffee farmers,DLSU Business and Economics Review,01167111,,2018,scopus
Liang Q.; Hu W.; Jia F.,a hybrid form of agricultural organization the case of the beizhijiang vegetable cooperative in china,International Food and Agribusiness Management Review,15592448,10.22434/IFAMR2018.0006,2019,scopus
Zhao Q.; Tsai P.-H.; Wang J.-L.,improving financial service innovation strategies for enhancing chinas banking industry competitive advantage during the fintech revolution a hybrid mcdm model,Sustainability (Switzerland),20711050,10.3390/su11051419,2019,scopus
Kromkratoke W.; Suwanmaneepong S.,performance financial analysis of rubber cooperatives in trat province thailand,International Journal of Agricultural Technology,26300192,,2018,scopus
Anzilago M.; Panhoca L.; Bezerra C.A.; Beuren I.M.; Kassai J.R.,values or hypocrisy the global reporting initiative mapping in agricultural cooperatives in paraná brazil,Environmental Monitoring and Assessment,01676369,10.1007/s10661-018-6870-5,2018,scopus
Musinguzi P.; Bosselmann A.S.; Pouliot M.,livelihoodsconservation initiatives evidence of socioeconomic impacts from organic honey production in mwingi eastern kenya,Forest Policy and Economics,13899341,10.1016/j.forpol.2018.09.010,2018,scopus
Coba-Molina E.; Díaz-Córdova J.; Tapia-Panchi E.; Sepúlveda J.M.,financial performance explained through the cooperative principles a study in the ecuador savings and credit cooperatives el rendimiento financiero explicado a través de los principios cooperativos un estudio en las cooperativas de ahorro y crédito del ecuador,Contaduria y Administracion,01861042,10.22201/FCA.24488410E.2020.2448,2019,scopus
Alho E.,farmers willingness to invest in new cooperative instruments a choice experiment,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12226,2019,scopus
da Silva W.H.; Guarnieri P.; Carvalho J.M.,sustainable practices in the coffee supply chain in the cerrado mineiro region brazil,Journal of Operations and Supply Chain Management,19843046,10.12660/joscmv11n2p90-100,2018,scopus
Francesconi G.N.; Wouterse F.,building the managerial capital of agricultural cooperatives in africa,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12218,2019,scopus
Mangan A.; Byrne A.,marginalising cooperation a discursive analysis of media reporting on the cooperative bank,Organization,13505084,10.1177/1350508418763276,2018,scopus
Habtemariam L.W.; Tufa K.; Herslund L.B.; Mguni P.,taking a livelihood perspective to building urban water resilience potential and challenges in addis ababa,Progress in Development Studies,14649934,10.1177/1464993418786775,2018,scopus
Grashuis J.; Ye S.U.,a review of the empirical literature on farmer cooperatives performance ownership and governance finance and member attitude,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12205,2019,scopus
Kolenovska D.,sinoczechoslovak cooperation on agricultural cooperatives the twinning project,Cold War History,14682745,10.1080/14682745.2017.1387775,2018,scopus
Stowe D.L.; Stowe J.D.,credit union business models,"Financial Markets, Institutions and Instruments",09638008,10.1111/fmii.12102,2018,scopus
Peng X.; Hendrikse G.; Deng W.,communication and innovation in cooperatives,Journal of the Knowledge Economy,18687873,10.1007/s13132-016-0401-9,2018,scopus
Pokharel K.P.; Regmi M.; Featherstone A.M.; Archer D.W.,examining the financial performance of agricultural cooperatives in the usa,Agricultural Finance Review,00021466,10.1108/AFR-11-2017-0103,2019,scopus
Paresashvili N.; Damenia N.,the mechanisms of state management in agricultural sector of georgia,Intellectual Economics,18228011,10.13165/IE-19-13-2-01,2019,scopus
Yusuf S.F.G.; Cishe E.; Skenjana N.,beekeeping and crop farming integration for sustaining beekeeping cooperative societies a case study in amathole district south africa,GeoJournal,03432521,10.1007/s10708-017-9814-7,2018,scopus
Ricciardi F.; Zardini A.; Rossignoli C.,organizational integration of the it function a key enabler of firm capabilities and performance,Journal of Innovation and Knowledge,25307614,10.1016/j.jik.2017.02.003,2018,scopus
Kopytko N.,what role can a livelihood strategy play in addressing climate change lessons in improving social capital from an agricultural cooperative in ukraine,Climate and Development,17565529,10.1080/17565529.2018.1442787,2018,scopus
Grashuis J.,joint ownership by farmers and investors in the agrifood industry an exploratory study of the limited cooperative association,Agricultural and Food Economics,21937532,10.1186/s40100-018-0118-0,2018,scopus
Grashuis J.,the impact of brand equity on the financial performance of marketing cooperatives,Agribusiness,07424477,10.1002/agr.21574,2019,scopus
Šerá E.,strategy of a top agriculture cooperative in the central planned economy the differentiation of the organization in perspective social system theory,Management and Organizational History,17449359,10.1080/17449359.2019.1660682,2019,scopus
Su Z.; Li Q.; Xie J.,based on data envelopment analysis to evaluate agricultural product supply chain performance of agricultural science and technology parks in china,Custos e Agronegocio,18082882,,2019,scopus
Nan Y.; Gao Y.; Zhou Q.,rural credit cooperatives contribution to agricultural growth evidence from china,Agricultural Finance Review,00021466,10.1108/AFR-06-2017-0042,2019,scopus
Lin S.,we work like antswe avoid being troublemaker an exploratory inquiry on resilience of chinese street vendors in the urban village,International Journal of Sociology and Social Policy,0144333X,10.1108/IJSSP-01-2018-0008,2018,scopus
Takahashi T.; Matsushita K.; Yoshida Y.; Senda T.,impacts of 150 years of modernization policies on the management of common forests in japan a statistical analysis of micro census data,International Journal of the Commons,18750281,10.5334/ijc.936,2019,scopus
Gao Y.; Huang Z.; Liang Q.,service realization and determinants in agricultural cooperatives in china evidence from zhejiang sichuan and heilongjiang provinces,Singapore Economic Review,02175908,10.1142/S0217590815501143,2018,scopus
Mekonnen E.; Mekuriaw Y.; Tegegne F.; Asmare B.,evaluation of fodder biomass yield of hydroponicallygrown barley and oats and the effects on intake digestibility and weight gain of washera sheep when fed as a supplement to a basal diet of natural pasture hay in ethiopia,Tropical Grasslands-Forrajes Tropicales,23463775,10.17138/TGFT(7)519-526,2019,scopus
Janudin S.E.; Halim H.A.; Habidin N.F.; Hanif F.M.,contemporary management accounting practices and managerial performance amongst the malaysian cooperatives sector,Research in World Economy,19233981,10.5430/rwe.v10n5p129,2019,scopus
Hoffmann J.A.,organic is more of an american term  we are traditional farmers discourses of placebased organic farming community heritage and sustainability,Environmental Communication,17524032,10.1080/17524032.2018.1486333,2018,scopus
Dhakal T.R.; Davidson B.; Farquharson B.,factors affecting collective actions in farmermanaged irrigation systems of nepal,Agriculture (Switzerland),20770472,10.3390/agriculture8060077,2018,scopus
Jain N.K.; Sinha S.; Iyer N.S.,industrial relations union issues at asian paints ltd,Emerald Emerging Markets Case Studies,20450621,10.1108/EEMCS-05-2017-0086,2018,scopus
Tana W.; De Mesquita J.M.C.; Da Costa Filho C.G.,dairy cooperatives in the state of minas gerais brazil a sociometric study,Revista em Agronegocio e Meio Ambiente,19819951,10.17765/2176-9168.2019v12n1p127-149,2019,scopus
Weesie R.; García A.K.,from herding to farming under adaptation interventions in southern kenya a critical perspective,Sustainability (Switzerland),20711050,10.3390/su10124386,2018,scopus
Dhehibi B.; Zucca C.; Frija A.; Kassam S.N.,biophysical and econometric analysis of adoption of soil and water conservation techniques in the semiarid region of sidi bouzid central tunisia,New Medit,15945685,10.30682/nm1802b,2018,scopus
Bezerra L.P.; Franco F.S.; Souza-Esquerdo V.F.; Borsatto R.,participatory construction in agroforestry systems in family farming ways for the agroecological transition in brazil,Agroecology and Sustainable Food Systems,21683565,10.1080/21683565.2018.1509167,2019,scopus
Ku H.B.; Dominelli L.,not only eating together space and green social work intervention in a hazardaffected area in yaan sichuan of china,British Journal of Social Work,00453102,10.1093/bjsw/bcx071,2018,scopus
Yang X.; Du G.; Li M.,environmental study of purchasing strategy based on supply disruption via option contracts for agricultural supply chain,Ekoloji,13001361,,2019,scopus
Ronner E.; Descheemaeker K.; Marinus W.; Almekinders C.J.M.; Ebanyat P.; Giller K.E.,how do climbing beans fit in farming systems of the eastern highlands of uganda understanding opportunities and constraints at farm level,Agricultural Systems,0308521X,10.1016/j.agsy.2018.05.014,2018,scopus
Grander G.; Vieira R.P.; Blanco T.H.M.; Bertolini G.R.F.; Johann J.A.,financial costs and results in the improvement of waste treatment processes in the supply chain of an agroindustrial cooperative,Custos e Agronegocio,18082882,,2019,scopus
Grashuis J.,an exploratory study of ownership and governance interrelationships in traditional and hybrid farmer cooperatives,Managerial and Decision Economics,01436570,10.1002/mde.2936,2018,scopus
Wang L.; Luo J.,vegetable supply chain integration the case of a trinity cooperative in china,International Food and Agribusiness Management Review,15592448,10.22434/IFAMR2019.0023,2019,scopus
Ma W.; Renwick A.; Yuan P.; Ratna N.,agricultural cooperative membership and technical efficiency of apple farmers in china an analysis accounting for selectivity bias,Food Policy,03069192,10.1016/j.foodpol.2018.10.009,2018,scopus
Stewart J.E.,the origins of life the managedmetabolism hypothesis,Foundations of Science,12331821,10.1007/s10699-018-9563-1,2019,scopus
Kleanthous A.; Paton R.A.; Wilson F.M.,credit unions cooperatives sustainability and accountability in a time of change a case study of credit unions in cyprus,International Journal of Social Economics,03068293,10.1108/IJSE-06-2017-0231,2019,scopus
Coelho-De-Souza G.; Ramos J.D.; Teixeira A.R.; Schreiber N.M.; Mello R.S.P.; Rocha B.,governance of the territorial development policy in rio grande do sul dynamics in the social and environmental context of rural coastal territories and cima da serra fields governança da política de desenvolvimento territorial no rio grande do sul dinâmicas no contexto socioambiental dos territórios rurais litoral e campos de cima da serra,Margens,18060560,10.18542/rmi.v13i20.9347,2019,scopus
Wang F.; Garcia-Sanz M.,wind farm cooperative control for optimal power generation,Wind Engineering,0309524X,10.1177/0309524X18780377,2018,scopus
Sedana G.; Astawa N.D.,establishment of inclusive business on coffee production in bali province lesson from the coffee development project in nusa tenggara timur province indonesia,Asian Journal of Agriculture and Rural Development,23041455,10.18488/journal.1005/2019.9.1/1005.1.111.122,2019,scopus
Onyilo F.; Adong A.,agricultural cooperative marketing and credit policy reform in uganda an opportunity for poverty reduction,"African Journal of Food, Agriculture, Nutrition and Development",16845358,10.18697/AJFAND.84.BLFB1008,2019,scopus
Martínez-Campillo A.; Fernández-Santos Y.; del Pilar Sierra-Fernández M.,how well have social economy financial institutions performed during the crisis period exploring financial and social efficiency in spanish credit unions,Journal of Business Ethics,01674544,10.1007/s10551-016-3192-9,2018,scopus
Bonroy O.; Garapin A.; Hamilton S.F.; Souza Monteiro D.M.,freeriding on product quality in cooperatives lessons from an experiment,American Journal of Agricultural Economics,00029092,10.1093/ajae/aay025,2019,scopus
Landín S.A.,a study of the statutory background for worker cooperatives in the us a proposal for a regulatory framework,Boletin de la Asociacion Internacional de Derecho Cooperativo,1134993X,10.18543/baidc-54-2019pp19-54,2019,scopus
Abate G.T.,drivers of agricultural cooperative formation and farmers membership and patronage decisions in ethiopia,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2018.06.002,2018,scopus
Ito T.; Watanabe T.,oysters and tsunami iterative learning and nested governance as resilience in postdisaster aquaculture in hokkaido japan,Society and Natural Resources,08941920,10.1080/08941920.2018.1550228,2019,scopus
Sengere R.W.; Curry G.N.; Koczberski G.,forging alliances coffee grower and chain leader partnerships to improve productivity and coffee quality in papua new guinea,Asia Pacific Viewpoint,13607456,10.1111/apv.12222,2019,scopus
Pletsch C.S.; Lavarda C.E.F.; Dallabona L.F.; de Oliveira G.R.,influence of the contingency factors environment and strategy in the management control systems of an agricultural cooperative,Custos e Agronegocio,18082882,,2019,scopus
Do Prado Furquim C.M.; Da Silva A.P.; Filho J.T.,farmers views on the use and management of soil and its relation to the return of erosion in notillage system visão de produtores rurais sobre o uso e manejo do solo e sua relação com o retorno da erosão em sistema de plantio direto,Semina:Ciencias Agrarias,1676546X,10.5433/1679-0359.2018v39n6p2843,2018,scopus
Hale J.; Carolan M.,framing cooperative development the bridging role of cultural and symbolic value between human and material resources,Community Development,15575330,10.1080/15575330.2018.1491614,2018,scopus
Sachan S.; Jawla S.K.; Kumar T.,the scenario of agricultural marketing in india a review,Plant Archives,09725210,,2019,scopus
Campoverde J.A.C.; Galarza C.A.R.; Borenstein D.,evaluation of the efficiency of savings and credit cooperatives in ecuador a data envelopment analysis dea aplication evaluación de eficiencia de cooperativas de ahorro y crédito en ecuador aplicación del modelo análisis envolvente de datos dea,Contaduria y Administracion,01861042,10.22201/fca.24488410e.2018.1449,2019,scopus
Kontogeorgos A.; Sergaki P.; Kosma A.; Semou V.,organizational models for agricultural cooperatives empirical evidence for their performance,Journal of the Knowledge Economy,18687873,10.1007/s13132-016-0402-8,2018,scopus
Zhang J.; Zhang C.; Shi W.; Fu Y.,quantitative evaluation and optimized utilization of water resourceswater environment carrying capacity based on naturebased solutions,Journal of Hydrology,00221694,10.1016/j.jhydrol.2018.10.059,2019,scopus
Marnasidis S.; Stamatelatou K.; Verikouki E.; Kazantzis K.,assessment of the generation of empty pesticide containers in agricultural areas,Journal of Environmental Management,03014797,10.1016/j.jenvman.2018.07.012,2018,scopus
Wu X.; Ding Y.,the service supply effect of cooperatives under economic transformation a demandsupply perspective,Sustainability (Switzerland),20711050,10.3390/su10093075,2018,scopus
Pauková Ž.; Kaprálová R.; Hauptvogl M.,mapping of occurrence and population dynamics of invasive plant species heracleum mantegazzianum in the agricultural landscape mapovanie výskytu a populačná dynamika invázneho druhu heracleum mantegazzianum v poľnohospodárskej krajine,Journal of Central European Agriculture,13329049,10.5513/JCEA01/20.2.2010,2019,scopus
Baiyegunhi L.J.S.; Hassan M.B.; Danso-Abbeam G.; Ortmann G.F.,diffusion and adoption of integrated striga management ism technologies among smallholder maize farmers in rural northern nigeria,Technology in Society,0160791X,10.1016/j.techsoc.2018.09.009,2019,scopus
Hu Q.; Xu B.,differential game analysis of optimal strategies and cooperation in omnichannel organic agricultural supply chain,Sustainability (Switzerland),20711050,10.3390/su11030848,2019,scopus
Hakelius K.,understanding the board of swedish farmer cooperatives  cases focusing on board composition and interaction patterns,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2018.06.001,2018,scopus
Choe H.; Lee J.,a comparative study on two ways of community building with different commons ownership modes focusing on the cases of gasiri and seonheul 1ri,Development and Society,15988074,10.21588/dns/2018.47.2.004,2018,scopus
Schmit T.M.; Severson R.M.,building success of food hubs through understanding of the cooperative experience,Journal of Extension,10775315,,2019,scopus
Požgan J.; Posedi I.,fonds of agricultural cooperatives in međimurje and koprivnička podravina after 1945 fondi kmetijskih zadrug v medžimurju in koprivnički podravini po letu 1945,Moderna Arhivistika,25910884,,2019,scopus
Nedanov A.; Žutinić Đ.,a correspondence analysis of motivational factors for joining agricultural cooperatives in croatia,New Medit,15945685,10.30682/nm1803g,2018,scopus
Hoken H.; Su Q.,measuring the effect of agricultural cooperatives on household income case study of a riceproducing cooperative in china,Agribusiness,07424477,10.1002/agr.21554,2018,scopus
Gahukar R.T.; Ba M.N.,an updated review of research on heliocheilus albipunctella lepidoptera noctuidae in sahelian west africa,Journal of Integrated Pest Management,21557470,10.1093/jipm/pmz003,2019,scopus
Bezus R.; Samofal O.,challenges of smallscale farming in ukraine,AgroLife Scientific Journal,22855718,,2019,scopus
Elliott M.; Elliott L.; Van der Sluis E.,a predictive analytics understanding of cooperative membership heterogeneity and sustainability,Sustainability (Switzerland),20711050,10.3390/su10062048,2018,scopus
Nilsson J.,governance costs and the problems of large traditional cooperatives,Outlook on Agriculture,00307270,10.1177/0030727018761175,2018,scopus
"Smith B.J., II",building emancipatory food power freedom farms rocky acres and the struggle for food justice,"Journal of Agriculture, Food Systems, and Community Development",21520801,10.5304/jafscd.2019.084.009,2019,scopus
Shumeta Z.; D’Haese M.; Verbeke W.,a twostep econometric estimation of covariates of side selling the case of coffee cooperatives in southwest ethiopia,Journal of Development Studies,00220388,10.1080/00220388.2017.1324146,2018,scopus
Wairegi L.W.I.; Bennett M.; Nziguheba G.; Mawanda A.; Rios C.D.L.; Ampaire E.; Jassogne L.; Pali P.; Mukasa D.; van Asten P.J.A.,sustainably improving kenyas coffee production needs more participation of younger farmers with diversified income,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2018.07.009,2018,scopus
Arcidiacono D.,promises and failures of the cooperative food retail system in italy,Social Sciences,20760760,10.3390/socsci7110232,2018,scopus
Phuknoi A.; Suwanmaneepong S.; Kuhaswonvetch S.,the operation performance of khao hin sorn agricultural cooperative rice mill ltd chachoengsao province thailand,International Journal of Agricultural Technology,26300192,,2018,scopus
Jaidee K.; Girdwichai L.; Suksanga M.,the management of savings and credit cooperatives to empower the community economic strength in the central region of thailand,"International Journal of Innovation, Creativity and Change",22011315,,2019,scopus
Amoah B.; Aboagye A.Q.Q.; Bokpin G.A.; Ohene-Asare K.,firm specific financial development and macroeconomic determinants of credit union lending,Journal of International Development,09541748,10.1002/jid.3372,2018,scopus
Ali S.S.; Mahana R.,linking social capital and microsavings lesson from thrifty saving behavior of afar pastoralists of ethiopia,Journal of Social Sciences Research,24136670,10.32861/jssr.412.820.825,2018,scopus
Zhou J.; Liu Q.; Liang Q.,cooperative membership social capital and chemical input use evidence from china,Land Use Policy,02648377,10.1016/j.landusepol.2017.11.001,2018,scopus
Tak S.,cooperative membership and community engagement findings from a latin american survey,Sociological Forum,08848971,10.1111/socf.12349,2017,scopus
Petarly R.R.; Coelho S.; De Souza W.P.,technical assistance and rural cooperative extension the profile and work of field agents in a cooperative agricultural mining assistência técnica e extensão rural cooperativa o perfil e o trabalho dos agentes de campo em uma cooperativa agropecuária em minas gerais brasil,Mundo Agrario,15155994,10.24215/15155994e059,2017,scopus
Hilliova M.; Hejkrlik J.; Mazancova J.; Tseren T.,reaching the rural poor through agricultural cooperatives in mongolia,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12162,2017,scopus
Fernández A.; Hernández A.; Hernández M.; Chicaiza O.,savings and credit cooperatives in pichincha ecuador is this a sustainable social management case,Journal of Security and Sustainability Issues,20297017,10.9770/jssi.2018.7.3(14),2018,scopus
Mamouni Limnios E.; Mazzarol T.; Soutar G.N.; Siddique K.H.,the member wears four hats a member identification framework for cooperative enterprises,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2018.03.003,2018,scopus
Landmann D.H.; Cadilhon J.-J.,the role of trust and networks in developing nicaraguan farmers agribusiness capacities,Journal of Agriculture and Rural Development in the Tropics and Subtropics,16129830,,2018,scopus
Cho Y.; Chung J.,bring the state back in conflict and cooperation among states in cybersecurity,Pacific Focus,12254657,10.1111/pafo.12096,2017,scopus
Villavicencio-Gutiérrez M.D.R.; Martínez-Castañeda F.E.; Martínez-Campos A.R.,financial evaluation of maguey pulquero products portfolio in mexicos central highlands,Journal of Agriculture and Environment for International Development,22402802,10.12895/jaeid.20182.826,2018,scopus
Mateos-Ronco A.; Guzmán-Asunción S.,determinants of financing decisions and management implications evidence from spanish agricultural cooperatives,International Food and Agribusiness Management Review,15592448,10.22434/IFAMR2016.0178,2018,scopus
Zhang M.; Jin Y.; Qiao H.; Zheng F.,product quality asymmetry and food safety investigating the one farm household two production systems of fruit and vegetable farmers in china,China Economic Review,1043951X,10.1016/j.chieco.2017.07.009,2017,scopus
Dos Santos A.; Londero P.R.,icpc 14 what is missing,Revista Contabilidade e Financas,15197077,10.1590/1808-057x201704740,2017,scopus
Ma W.; Abdulai A.; Goetz R.,agricultural cooperatives and investment in organic soil amendments and chemical fertilizer in china,American Journal of Agricultural Economics,00029092,10.1093/ajae/aax079,2018,scopus
Wang J.; Hochman Z.; Taylor B.; Darbas T.; van Rees H.; Carberry P.; Ren D.,governing through representatives of the community a case study on farmer organizations in rural australia,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2017.05.001,2017,scopus
Grace K.; Vincent M.; Evans A.,corporate governance and performance of financial institutions in kenya,Academy of Strategic Management Journal,15441458,,2018,scopus
Yadav B.; Sharma A.; Patil S.; Kumari S.,ornamental fish production sector of maharashtra state a constraint analysis,Indian Journal of Ecology,03045250,,2017,scopus
Saitone T.L.; Sexton R.J.; Malan B.,price premiums payment delays and default risk understanding developing country farmers decisions to market through a cooperative or a private trader,Agricultural Economics (United Kingdom),01695150,10.1111/agec.12422,2018,scopus
Schmidt O.,how cooperative are savings and credit cooperatives in developing countries an analysis of datasets from uganda,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12155,2017,scopus
Martins F.S.; Lucato W.C.,structural production factors impact on the financial performance of agribusiness cooperatives in brazil,International Journal of Operations and Production Management,01443577,10.1108/IJOPM-10-2015-0637,2018,scopus
Sathapatyanon J.; Kuwornu J.K.M.; Shivakoti G.P.; Soni P.; Anal A.K.; Datta A.,the role of farmer organizations and networks in the rice supply chain in thailand,Journal of Agribusiness in Developing and Emerging Economies,20440839,10.1108/JADEE-01-2017-0016,2018,scopus
Hossain N.; Alam R.M.K.; Gavlovskaya G.,effective microcredit banking for growth and development of small business and improve the poverty condition in bangladesh,Journal of Applied Economic Sciences,18436110,,2018,scopus
Sharma S.; Lakhera J.P.; Bareth L.S.; Kaur M.,association between adoption of women respondents about improved cattle management practices in arid region of rajasthan,Annals of Biology,09700153,,2017,scopus
Mankad A.; Loechel B.; Measham P.F.,psychosocial barriers and facilitators for areawide management of fruit fly in southeastern australia,Agronomy for Sustainable Development,17740746,10.1007/s13593-017-0477-z,2017,scopus
Graddy-Lovelace G.,united statescuba agricultural relations and agrarian questions,Journal of Agrarian Change,14710358,10.1111/joac.12190,2018,scopus
Khafagy A.,regulation supervision and deposit insurance for financial cooperatives an empirical investigation,Annals of Finance,16142446,10.1007/s10436-017-0307-y,2018,scopus
Van Dalsem S.A.,uninsured deposits and excess share insurance at us credit unions the impact on risk and returns to members,Journal of Economics and Finance,10550925,10.1007/s12197-016-9376-4,2017,scopus
Hassan M.K.; Brodmann J.; Rayfield B.; Huda M.,modeling credit risk in credit unions using survival analysis,International Journal of Bank Marketing,02652323,10.1108/IJBM-05-2017-0091,2018,scopus
Bonamigo A.; Ferenhof H.A.; Tezza R.; Forcellini F.A.,dairy production barriers diagnosis in southern brazil,British Food Journal,0007070X,10.1108/BFJ-06-2017-0359,2018,scopus
Kaldiyarov D.A.; Kantureev M.T.; Abdykalieva Z.S.; Syzdykbaeva N.B.; Baltabayeva A.,optimization of production costs of agricultural cooperatives as a factor in the formation of a stable food supply system optimización de los costos de producción de las cooperativas agrícolas como un factor en la formación de un sistema estable de suministro de alimentos,Espacios,07981015,,2018,scopus
Getnet K.; Kefyalew G.; Berhanu W.,on the power and influence of the cooperative institution does it secure competitive producer prices,World Development Perspectives,24522929,10.1016/j.wdp.2018.04.001,2018,scopus
Vicziany M.; Plahe J.,extending traditional food knowledge into new marketing institutions for small farmers in india,South Asia: Journal of South Asia Studies,00856401,10.1080/00856401.2017.1342183,2017,scopus
Kuc M.; Teplý P.,a financial performance comparison of czech credit unions and european cooperative banks,Prague Economic Papers,12100455,10.18267/j.pep.682,2018,scopus
DeGrave J.; Schaffer N.,viewing microcredit lending through participatory mapping a case study,Perspectives on Global Development and Technology,15691500,10.1163/15691497-12341493,2018,scopus
Mathuva D.M.; Chong H.G.,impact of regulatory reforms on compliance with mandatory disclosures by savings and credit cooperatives in kenya,Journal of Financial Regulation and Compliance,13581988,10.1108/JFRC-04-2016-0036,2018,scopus
Aruna C.,does social capital make a difference for dalit women representatives in local self governance,Contemporary Voice of Dalit,2455328X,10.1177/2455328X17745172,2018,scopus
Kishioka T.; Hashimoto S.; Nishi M.; Saito O.; Kohsaka R.,fostering cooperation between farmers and public and private actors to expand environmentally friendly rice cultivation intermediary functions and farmers perspectives,International Journal of Agricultural Sustainability,14735903,10.1080/14735903.2017.1374321,2017,scopus
Bretos I.; Errasti A.,the challenges of managing across borders in worker cooperatives insights from the mondragon cooperative group,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2018.04.001,2018,scopus
Machline E.; Schwartz M.,demographic decline in a rural periphery the eshkol region in israel,International Journal of Rural Management,09730052,10.1177/0973005217721007,2017,scopus
Gokhberg L.; Kuzminov I.; Chulok A.; Thurner T.,the future of russias agriculture and food industry between global opportunities and technological restrictions,International Journal of Agricultural Sustainability,14735903,10.1080/14735903.2017.1335572,2017,scopus
Jentzsch H.,tracing the local origins of farmland policies in japanlocalnational policy transfers and endogenous institutional change,Social Science Japan Journal,13691465,10.1093/ssjj/jyx026,2017,scopus
Snider A.; Gutiérrez I.; Sibelet N.; Faure G.,small farmer cooperatives and voluntary coffee certifications rewarding progressive farmers of engendering widespread change in costa rica,Food Policy,03069192,10.1016/j.foodpol.2017.04.009,2017,scopus
Corbet S.; Larkin C.,has the uniformity of banking regulation within the european union restricted rather than encouraged sectoral development,International Review of Financial Analysis,10575219,10.1016/j.irfa.2017.08.007,2017,scopus
Landini F.; Vargas G.; Bianqui V.; Mathot y Rebolé M.I.; Martínez M.,contributions to group work and to the management of collective processes in extension and rural development,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2017.09.014,2017,scopus
Wittman H.; Dennis J.; Pritchard H.,beyond the market new agrarianism and cooperative farmland access in north america,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2017.03.007,2017,scopus
